no,name,address,province,phone_numbers,faxes,emails,website_or_facebook,mailbox,department_name,major
,,,,,,,,,,កែច្នៃអាហារ
,,,,,,,,,,វារីប្បកម្ម
,,,,,,,,,៤.មហាវិទ្យាល័យសិល្បះមនុស្សសាស្ត្រនឹងអប់រំ,អក្សរសាស្ត្រខ្មែរ
,,,,,,,,,៥.មហាវិទ្យាល័យវិទ្យាសាស្ត្រ នឹងបច្ចកទេស,បច្ចេកវិទ្យាព័ត៏មានវិទ្យា
,,,,,,,,,,វិស្វកម្មនុយក្លេអ៊ែរ
,,,,,,,,,,គីមីវិទ្យា
,,,,,,,,,,ជីវវិទ្យា
,,,,,,,,,៦.វិទ្យាស្ថានភាសាបរទេស,ភាសាអង់គ្លេស
,,,,,,,,,,ភាសាកូរ៉េ
,,,,,,,,,,វិស្វកម្មសំណង់ស៊ីវិល
,,,,,,,,,,គណិតវិទ្យា
,,,,,,,,,,រូបវិទ្យា
,,,,,,,,,,មីក្រូវិទ្យា
9,សាកលវិទ្យាល័យមានជ័យ,ដងផ្លូវជាតិលេខ៥​ ភូមិបាណយ ឃុំទឹកថ្លា ក្រុងសេរីសោភ័ណ ខេត្តបន្ទាយមានជ័យ,បន្ទាយមានជ័យ,០១២ ៩២១ ​៩៧៦; ០៩២ ៣៩៨ 00៨; ០៩៧ ៧៧៧ ០៧៧៤,,oryarath@yahoo.com;  sokmadynov@yahoo.com,www.mcu.edu.kh,,១.មហាវិទ្យាល័យសិល្បះ​ មនុស្សសាស្ដ្រ នឹងភាសា,អក្សរសាស្ដ្រខ្មែរ
,,,,,,,,,,អក្សរសាស្ដ្រអង់គ្លេស
,,,,,,,,,,អក្សរសាស្ដ្រកូរ៉េ
,,,,,,,,,,អក្សរសាស្ដ្រចិន
,,,,,,,,,២.មហាវិទ្យាល័យកសិកម្ម នឹងកែច្នៃអាហារ,កសិឧស្សាហកម្ម
,,,,,,,,,,ក្សេត្រសាស្ត្រ
,,,,,,,,,,បសុពេទ្យ​ 
,,,,,,,,,,គ្រឿងយន្ដកសិកម្ម
,,,,,,,,,៣.មហាវិទ្យាល័យវិទ្យាសាស្ដ្រ​ នឹងបច្ចេកវិទ្យា,ព័ត៏មានវិទ្យា
,,,,,,,,,៤.មហាវិទ្យាល័យសង្គមសាស្រ្ត និងអភិវឌ្ឍន៍សហគមន៍,អភិវឌ្ឍន៍សហគមន៍
,,,,,,,,,៥.មហាវិទ្យាល័យគ្រប់គ្រងពាណិជ្ជកម្ម និងទេសចរណ៍,គ្រប់គ្រងពាណិជ្ជកម្ម
,,,,,,,,,,ធនាគារ-ហិរញ្ញវត្ថុ
10,សាកលវិទ្យាល័យស្វាយរៀង,ភូមិចំបក់ សង្កាត់ចេក ក្រុងស្វាយរៀង ខេត្តស្វាយរៀង,ស្វាយរៀង,០៤៤ ៧១៥ ៧៧៨,០៤៤ ៧១៥ ៧៧៨,info@sru.edu.kh,www.sru.edu.kh,,១.មហាវិទ្យាល័យគ្រប់គ្រងពាណិជ្ជកម្ម,គ្រប់គ្រង
,,,,,,,,,,គណនេយ្យ
,,,,,,,,,,ទីផ្សារ
,,,,,,,,,,ហិរញ្ញវត្ថុ និង ធនាគារ
,,,,,,,,,២.មហាវិទ្យាល័យកសិកម្ម,ក្សេត្រសាស្ត្រ
,,,,,,,,,,អភិវឌ្ឍន៍ជនបទ
,,,,,,,,,,វិទ្យាសាស្ត្រ និងវេជ្ជសាស្ត្រសត្វ
,,,,,,,,,៣.មហាវិទ្យាល័យវិទ្យាសាស្ត្រ និង បច្ចេកវិទ្យា,គណិតវិទ្យា
,,,,,,,,,,វិទ្យាសាស្ត្រកុំព្យូទ័រ
,,,,,,,,,៤.មហាវិទ្យាល័យសិល្បះ មនុស្សសាស្ត្រ និងភាសាបរទេស,អក្សរសាស្ត្រអង់គ្លេស
,,,,,,,,,,បកប្រែភាសាអង់គ្លេស
,,,,,,,,,៥.មហាវិទ្យាល័យសង្គមសាស្ត្រ,រដ្ឋបាលសាធារណៈ
11,សាកលវិទ្យាល័យជាស៊ីម កំចាយមារ,គីឡូម៉ែត្រលេខ ១១០ ផ្លូវជាតិលេខ ១៨ ភូមិថ្នល់កែង ឃុំស្មោងខាងជើង ស្រុកកំចាយមារ ខេត្ត ព្រៃវែង,ព្រៃវែង,០១២ ២៩៩ ៥៧០;  ០១២ ៧៩៩ ៥៨៧;  ០៩៨ ៦២៦ ៣២៧ ,,info@csuk.edu.kh,www.csuk.edu.kh,,១. មហាវិទ្យាល័យសិល្បះ មនុស្សសាស្ត្រ និងភាសា,ភាសាអង់គ្លេសសម្រាប់ការអប់រំ
,,,,,,,,,,ភាសាអង់គ្លេសសម្រាប់ការបកប្រែ
,,,,,,,,,,ភាសាអង់គ្លេសទំនាក់ទំនង
,,,,,,,,,២. មហាវិទ្យាល័យវិទ្យាសាស្ត្រនិងគណិតសាស្ត្រ,ការងាររដ្ឋបាល
,,,,,,,,,,ការងារជួសជុល
,,,,,,,,,,គណិតវិទ្យា
,,,,,,,,,,គីមីវិទ្យា
,,,,,,,,,,ជីវវិទ្យា
,,,,,,,,,៣.មហាវិទ្យាល័យវិទ្យាសាស្ត្រសង្គម,សេដ្ឋកិច្ច
,,,,,,,,,,អភិវឌ្ឍន៍ជនបទ
,,,,,,,,,,ទេសចរណ៍ និងបដិសណ្ឋារកិច្ច
,,,,,,,,,៤.មហាវិទ្យាល័យគ្រប់គ្រង,ទីផ្សារ
,,,,,,,,,,គណនេយ្យ
,,,,,,,,,,ធនាគារនិងហិរញ្ញវត្ថុ
,,,,,,,,,,គ្រប់គ្រងធនធានមនុស្ស
,,,,,,,,,៥. មហាវិទ្យាល័យ កសិកម្ម,ក្សេត្រសាស្ត្រ
,,,,,,,,,,គ្រប់គ្រងធនធានធម្មជាតិ
,,,,,,,,,,ផលិតកម្មសត្វ និងបសុព្យាបាល
,,,,,,,,,៦.វិទ្យាស្ថានអភិវឌ្ឍន៍សហគមន៍,ក្សេត្រសាស្ត្រ
,,,,,,,,,,មេកានិច
,,,,,,,,,,អេឡិចត្រូនិច
,,,,,,,,,,អគ្គិសនី
,,,,,,,,,,គ្រឿងយន្ដកសិកម្ម
,,,,,,,,,,គណនេយ្យ
,,,,,,,,,,ស្រាវជ្រាវ
,,,,,,,,,,ផ្សព្វផ្សាយ
,,,,,,,,,,ផលិតកម្មសត្វ និងបសុព្យាបាល
12,សាកលវិទ្យាល័យ ហេង សំរិន ត្បូងឃ្មុំ,ចម្ការម៉ៃសាក់ ឃុំស្រឡប់ ស្រុកត្បូងឃ្មុំ ខេត្តត្បូងឃ្មុំ,ត្បូងឃ្មុំ,០១២ ៧៣៤ ២៣៣; ០១២ ៧៩៧ ៨៧៩; ០៨៧ ៩១៥ ៥៤៤; ០១៥ ៧៩៧ ៨៧៩,,vannaro@gmail.com ;   pintara30@gmail.com ;  uhstpintara@gmail.com,www.uhst.edu.kh,,១.មហាវិទ្យាល័យកសិកម្ម,ក្សេត្រសាស្ត្រ
,,,,,,,,,,សេដ្ឋកិច្ចកសិកម្ម
,,,,,,,,,,វិទ្យាសាស្ត្រសត្វ
,,,,,,,,,,វិទ្យាសាស្ត្រព្រៃឈើនិងធនធានធម្មជាតិ
,,,,,,,,,២.មហាវិទ្យាល័យវិស្វកម្ម,វិស្វកម្មសំណង់ស៊ីវិល
,,,,,,,,,,វិស្វកម្មមេកានិកនិងឧស្សាហកម្ម
,,,,,,,,,,គ្រឿងយន្ដកសិកម្ម
,,,,,,,,,,វិស្វកម្មគីមីចំណីអាហារ
,,,,,,,,,៣.មហាវិទ្យាល័យអក្សរសាស្ដ្រ និង មនុស្សសាស្ត្រ,អក្សរសាស្ត្រខ្មែរ
,,,,,,,,,,ប្រវត្តិវិទ្យា
,,,,,,,,,,ទស្សនវិជ្ជា
,,,,,,,,,៤.វិទ្យាសាស្ត្រភាសាបរទេស,ភាសាអង់គ្លេស
,,,,,,,,,,ភាសាចិន
,,,,,,,,,,ភាសាកូរ៉េ
,,,,,,,,,៥.វិទ្យាស្ថានបច្ចេកវិទ្យាព័ត៌មាន,កម្មវិធីកុំព្យូទ័រ
,,,,,,,,,,បច្ចេកវិទ្យាព័ត៏មានធុរកិច្ច
,,,,,,,,,,វិទ្យសាស្ត្រកុំព្យូទ័រ
,,,,,,,,,៦.វិទ្យាស្ថានបណ្ដុះបណ្ដាលបច្ចេកទេស និងវិជ្ជាជីវៈ,
13,វិទ្យាស្ថានបច្ចេកវិទ្យាកម្ពុជា,មហាវិថីសហព័ន្ធរុស្សី រាជធានីភ្នំពេញ,រាជធានីភ្នំពេញ,០២៣ ៨៨០ ៣៧០,០២៣ ៨៨០ ៣៦៩,info@itc.edu.kh,www.itc.edu.kh,86,១.ដេប៉ាតឺម៉ង់ទេពកោសល្យគីមីចំណីអាហារ,វិស្វកម្មគីមីនិងបច្ចេកវិទ្យាអាហារ
,,,,,,,,,២.ដេប៉ាតឺម៉ង់ទេពកោសល្យស៊ីវិល,វិស្វកម្មសំណង់ស៊ីវិល
,,,,,,,,,,វិស្វកម្មស្ថាបត្យកម្ម
,,,,,,,,,៣.ដេប៉ាតឺម៉ង់ទេពកោសល្យអគ្គិសនី និងថាមពល,អគ្គសនី និងអេឡិចត្រូនិច
,,,,,,,,,៤.ដេប៉ាតឺម៉ង់ទេពកោសល្យធនធានរ៉ែ និងភូគព្ភសាស្ត្រ,វិស្វកម្មធនធានរ៉ែ និង ភូគព្ភសាស្ត្រ
,,,,,,,,,៥.ដេប៉ាតឺម៉ង់ទេពកោសល្យព័ត៌មានវិទ្យា និងទំនាក់ទំនង,វិទ្យាសាស្ត្រកុំព្យូទ័រ
,,,,,,,,,៥.ដេប៉ាតឺម៉ង់ទេពកោសល្យឧស្សាហកម្ម និងមេកានិក,វិស្វកម្មឧស្សាហគម្ម និង មេកានិក
,,,,,,,,,៥.ដេប៉ាតឺម៉ង់ទេពកោសល្យជនបទ,វិស្វកម្មធនធានទឹក និង    ហេដ្ឋារចនា​​សម្ព័ន្ឋជនបទ
14,វិទ្យាស្ថាននាវាចរណ៍កម្ពុជា,អគារលេខ ៦៤៥ តិរះវិថីស៊ីសុវត្ថិ សង្កាត់ស្រះចក ខណ្ឌដូនពេញ រាជធានី,រាជធានីភ្នំពេញ,០១៦ ៩៤០ ៩០៨;  ០១០ ៤៤៤ ៣៨១ ,០២៣ ៤២៧ ៨០២,ppapmpwt@online.com,,,មហាវិទ្យាល័យវិទ្យាសាស្ត្របើកបរនាវាសមុទ្រ,បច្ចេកទេសកណ្ណធារសាស្ត្រ
15,វិទ្យាស្ថានបច្ចេកវិទ្យាកំពង់ឈើទាល,ភូមិសំបូរ ឃុំសំបូរ ស្រុកប្រាសាទសំបូរ ខេត្តកំពង់ធំ,កំពង់ធំ,០៨៩ ៣៦៥​ ៨៦១,,pechseangchula@gmail.com,,,វិទ្យាស្ថានបច្ចេកវិទ្យាកំពង់ឈើទាល ,អេឡិចត្រូនិច
,,,,,,,,,,ទូរគមនាគមន៍
,,,,,,,,,,អនុភាពអគ្គិសនី
,,,,,,,,,,វិទ្យាសាស្ត្រសត្វ
,,,,,,,,,,វិទ្យាសាស្ត្រដំណាំ
,,,,,,,,,,កុំព្យូទ័រពាណិជ្ជកម្ម
,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍ និង សណ្ឋារគារ
16,វិទ្យាស្ថានវិទ្យាសាស្ត្រសុខាភិបាល,ផ្លូវជាតិលេខ ៣ ភូមិក្រាំងដូនទៃ សង្កាត់ចោមចៅ ខណ្ឌពោធិ៍សែនជ័យ រាជធានី,រាជធានីភ្នំពេញ,០២៣ ៦៤៦ ៥៧៧៧; ០៩៧ ៩៧៦ ២៤៧៦,,his.rcaf@gmail.com,www.insti-sante.edu.kh,,មហាវិទ្យាល័យវេជ្ជសាស្ត្រ,វេជ្ជសាស្ត្រ
,,,,,,,,,មហាវិទ្យាសាស្ត្រឱសថសាស្ត្រ,ឱសថសាស្ត្រ
,,,,,,,,,មហាវិទ្យាល័យទន្តសាស្ត្រ,ទន្តសាស្ត្រ
,,,,,,,,,សាលាថែទាំវេជ្ជសាស្ត្រ,គិលានុបដ្ឋាក
,,,,,,,,,,គិលានុបដ្ឋាក-ឆ្មប
,,,,,,,,,,ឆ្មប
,,,,,,,,,,បច្ចេកទេសមន្ទីរពិសោធន៍វេជ្ជសាស្ត្រ
17,វិទ្យាស្ថានវិទ្យាសាស្ត្រអគ្គិសនី,ផ្លូវ ២១៧ (ចំការដូង) ភូមិសំបូរ​ សង្កាត់ដង្កោ ខណ្ឌដង្កោ រាជធានីភ្នំពេញ។,រាជធានីភ្នំពេញ,០២៣ ៨៨០ ១១៦,០២៣ ៨៨០ ១១៦,edc_ies@yahoo.com,,,វិទ្យាស្ថានវិទ្យាសាស្ត្រអគ្គសនី ,អគ្គិសនី
18,វិទ្យាស្ថានជាតិប្រៃសណីយ៍ ទូរគមនាគមន៍ និង ព័ត៌មាន,អាគារលេខ ៤១ ជាប់ទីស្ដីការគណៈរដ្ឋមន្ត្រី នៅតាមបណ្ដោយផ្លូវសហព័ន្ឋរុស្សី រាជធានីភ្នំពេញ,រាជធានីភ្នំពេញ,០១៥ ៣៣៥ ៨៧៧; ០៧៧ ៣៣៥ ៨៧៧,,info@niptict.edu.kh,www.niptict.edu.kh,,១.មហាវិទ្យាល័យគ្រប់គ្រងប្រៃសណីយ៍ និង ភស្តុភារ,ពាណិជ្ជកម្មអេឡិចត្រូនិក និង ភស្តុភារ
,,,,,,,,,២.មហាវិទ្យាល័យបច្ចេកវិទ្យាទូរគមនាគមន៍ និង បណ្ដាញ,ទូរគមនាគមន៍ និង បណ្ដាញ
,,,,,,,,,៣.មហាវិទ្យាល័យវិទ្យាសាស្ត្រកុំព្យូទ័រ,វិទ្យាសាស្ត្រកុំព្យូទ័រ
